customerID;Churn;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total;Cuentas_Diarias;;
0002-ORFBO;No;Female;0.0;Yes;Yes;9.0;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;65,6;593,3;21.866.666.666.666.600;;9,044207317
0003-MKNFE;No;Male;0.0;No;No;9.0;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;59,9;542,4;19.966.666.666.666.600;;9,05509182
0004-TLHLJ;Yes;Male;0.0;No;No;4.0;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;73,9;280,85;24.633.333.333.333.300;;3,800405954
0011-IGKFF;Yes;Male;1.0;Yes;No;13.0;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98;1237,85;32.666.666.666.666.600;;12,63112245
0013-EXCHZ;Yes;Female;1.0;Yes;No;3.0;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;83,9;267,4;2.796.666.666.666.660;;3,187127533
0013-MHZWF;No;Female;0.0;No;Yes;9.0;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);69,4;571,45;23.133.333.333.333.300;;8,234149856
0013-SMEOE;No;Female;1.0;Yes;No;71.0;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);109,7;7904,25;36.566.666.666.666.600;;72,05332726
0014-BMAQU;No;Male;0.0;Yes;No;63.0;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);84,65;5377,8;28.216.666.666.666.600;;63,52982871
0015-UOCOJ;No;Female;1.0;No;No;7.0;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;48,2;340,35;16.066.666.666.666.600;;7,06120332
0016-QLJIS;No;Female;0.0;Yes;Yes;65.0;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;90,45;5957,9;3.015;;65,86954118
